Text,Label,Tagger,Case
"דומני ששני הפנים הללו – המקל והמחמיר, מקזזים זה את השפעתו של זה על עיצוב מתחם העונש ההולם;",reject,Michael,train
דיון והכרעה,reject,Michael,train
הדברים אמורים בפרט על רקע ריבוי מקרי האלימות החמורה ומקרי הירי שהובילו למותם של עשרות אזרחים בשנה האחרונה;,reject,Michael,train
"הוועדה המליצה על שימוש בשיקום בקהילה באמצעות ענישה שנעה בין מאסר בעבודות שירות בקצה המחמיר, ועד לצווי מבחן וצווי שירות לתועלת הציבור בקצה המקל, אשר צפויים להפיק תוצאות טובות יותר בהשוואה לשימוש נרחב במאסרים;",reject,Michael,train
הוועדה הצביעה על ההשלכות השליליות של המאסר על האסיר ועל הנזק הכבד שנגרם לאסיר כתוצאה מכך;,reject,Michael,train
הוועדה הצביעה על כך שמרכז הכובד ביצירת הרתעה אפקטיבית מוסט בשנים האחרונות במדינות המערב מהחמרת הענישה אל הגברת סיכויי התפיסה;,reject,Michael,train
"הוועדה מצאה שאין בגזירת עונשי מאסר כדי להרתיע הרתעה של ממש, הן בהיבט של הרתעת הפרט והן בהיבט של הרתעת הכלל;",reject,Michael,train
המאשימה,reject,Michael,train
הממונה יוכל לשנות את מקום ההשמה ואת שעות העבודה לפי שיקול דעתו ללא צורך בפנייה לבית המשפט;,reject,Michael,train
הנאשם,reject,Michael,train
הנאשם יתייצב לצורך קליטה והצבה ביום  20 בדצמבר 2020 בשעה 08:00 במשרדי הממונה במפקדת מחוז דרום בבאר שבע כפי שנקבע בחוות הדעת;,reject,Michael,train
"הנאשם מוזהר בזאת שעליו לעמוד בתנאי ההעסקה הקפדניים להנחת דעתו של הממונה ובין היתר להתייצב לעבודתו באופן רציף ועל פי כללי החוק והנחיות הממונה, וכי כל חריגה מכללים אלה, עלולה להביא להפסקת עבודות השירות ונשיאת יתרת העונש במאסר ממש;",reject,Michael,train
"הנאשם שובץ לעבודות שירות במנהל הקהילתי תלפיות שלוחת ארמון הנציב, במגבלות בימים ובשעות שנקבעו בחוות הדעת;",reject,Michael,train
הנזק שהיה צפוי להיגרם מביצוע העבירה; יש לבחון את המקרה שלפנינו כמו גם מקרים דומים אחרים בהתאם לפוטנציאל החומרה וזאת להבדיל מחומרת התוצאה;,reject,Michael,train
הנימוקים שעומדים בבסיס מסקנתי הם אלה:,reject,Michael,train
"הסכמת המאשימה שלא להביא ראיות לסתור את הטענה, מותירה את בית המשפט עם מצע עובדתי אחד בלבד;",reject,Michael,train
"הפן המקל נוגע לאסון שפקד את משפחת הנאשם ולמשבר שבא בעקבותיו, כך שייתכן ששיקול הדעת של הנאשם שובש בעקבות ההלם, הצער והשפעתן של המאורעות;",reject,Michael,train
הקנס ישולם בחמישה תשלומים שווים ורצופים;,reject,Michael,train
"התסקיר סוקר את הרקע האישי, המשפחתי, והתעסוקתי של הנאשם;",reject,Michael,train
התשלום הראשון ישולם ביום 1 בספטמבר 2020;,reject,Michael,train
זכות ערעור לבית המשפט המחוזי בירושלים בתוך 45 יום מהיום;,reject,Michael,train
"חוק העונשין (תיקון 133 – הוראת שעה), התשע""ח–2018 (ס""ח 1742 מיום 26;07;2018), נחקק בעקבות המלצת ועדת דורנר ומאפשר כיום לגזור על נאשם מאסר בעבודות שירות לתקופה מקסימלית בת תשעה חודשים;",reject,Michael,train
"חוק העונשין, תשל""ז-1977: סע'  144(א), 40 יג",reject,Michael,train
חקיקה שאוזכרה:,reject,Michael,train
"טען שפחדו מהמשטרה ואי ידיעת החוק, מנעו ממנו לפנות למשטרה;",reject,Michael,train
יתר התשלומים ישולמו בכל אחד בחודש בארבעת החודשים העוקבים;,reject,Michael,train
כבוד השופט  איתן כהן,reject,Michael,train
"כידוע, העיקרון המנחה בקביעת העונש הוא עיקרון ההלימה, דהיינו, קיומו של יחס הולם בין חומרת מעשה העבירה בנסיבותיו ומידת אשמו של הנאשם, ובין סוג ומידת העונש שיוטל עליו (להלן: ""העיקרון המנחה"");",reject,Michael,train
כיצד יישא הנאשם את עונש המאסר – האם במאסר ממש או בעבודות שירות?,reject,Michael,train
כך גם האקדח שהוסתר בידי הנאשם עלול היה להתגלגל לידיים עויינות ולהמיט אסון עד כדי אובדן חיי אדם ממש;,reject,Michael,train
כך שיתכן שייקבעו מתחמי הלימה שונים לנאשמים בעבירות זהות רק בשל כך שנסיבות ביצוע העבירה היו שונות;,reject,Michael,train
כך ששימוש מושכל ויעיל במאסר מחייב את התאמת המאסר למסוכנות העבריין;,reject,Michael,train
כללי,reject,Michael,train
כתב האישום,reject,Michael,train
לא ישולם תשלום במועדו תעמוד יתרת הקנס לפירעון מידי ותישא הפרשי הצמדה וריבית מיום התשלום המיועד ועד ליום התשלום המלא בפועל;,reject,Michael,train
"לדבריו היה אובד עצות, לא ידע מה לעשות ולא סיפר אודות האקדח לאביו ולאחיו, ולו היה מספר ייתכן שהיו מכוונים אותו לעשות את הדבר הנכון;",reject,Michael,train
לדבריו לא פנה למשטרה הן מכיוון שפחד להיעצר והן על רקע חוסר האמון של תושבי מזרח ירושלים במשטרה;,reject,Michael,train
"לעיתים מדיניות הענישה הנוהגת ביחס לעבירה מסוימת אינה מספקת, ועל בית המשפט להורות על החמרה בענישה על מנת לקדם ולהגן על הערכים אשר ביסודה, ובכך לבלום את נפיצותן של עבירות מסוימות ההופכות ל""מכת מדינה"", ולתת ביטוי לחומרה שיש לייחס להן"";",reject,Michael,train
"לעניין מדיניות הענישה הנוהגת, ניכרת בפסיקה מגמה מובהקת ומבוצרת של החמרה בעבירות נשק ואף קריאות לצורך בהעלאת רף הענישה, והכול על רקע האלימות הקשה אשר הפכה זה מכבר לחזון נפרץ במחוזותינו ואשר כרוכה לעיתים בשימוש בנשק חם, ועל רקע אובדן חיי אדם כתוצאה מכך;",reject,Michael,train
לפיכך אין טעם בניסיון לקדם את ההרתעה באמצעות הרחבת השימוש במאסרים או באמצעות שימוש במאסרים ממושכים יותר;,reject,Michael,train
לפיכך המליצה הועדה  על המרת מאסרים קצרים בין כותלי הכלא בעונשים אחרים כגון מאסר בעבודות שירות;,reject,Michael,train
"לפיכך יש להניח לטובת הנאשם שאלה היו נסיבות ביצוע העבירה, וכך בדעתי לנהוג במקרה זה;",reject,Michael,train
לתמיכה בטיעוניה הגישה פסיקה;,reject,Michael,train
מדובר בעבירה אשר מקימה פוטנציאל להסלמה עבריינית ויוצרת סיכון ממשי לשלום הציבור ובטחונו;,reject,Michael,train
מדינת ישראל,reject,Michael,train
"מזכירות בית המשפט תמציא את העתק גזר דין לשירות המבחן למבוגרים ולממונה על עבודות שירות בשב""ס;",reject,Michael,train
מידת הפגיעה בערך המוגן אינה מבוטלת;,reject,Michael,train
מכאן שכליאתו תשרת רק את אינטרס הרתעת הרבים;,reject,Michael,train
מסר שחשש לדווח למשטרה עקב חומרת המעשה;,reject,Michael,train
"מצאתי שלא יהא זה צודק להחמיר עם הנאשם מעבר לנדרש, אך בשל כך שיש צורך בהרתעת אחרים;",reject,Michael,train
משמעות הדברים היא שנסיבות אלה ישמשו לבניית מתחם העונש ההולם את המעשה אשר כידוע נקבע בין היתר תוך התחשבות בנסיבות ביצוע העבירה;,reject,Michael,train
"משקלם המצטבר של כל אלה, מוביל למסקנה שיש למתן את הענישה שתיגזר על הנאשם, באופן שיוביל לאיזון הולם בין האינטרס הציבורי שבמיצוי הדין עמו משיקולי הלימה והרתעה ובין נסיבותיו האישיות והמשפחתיות על רקע האסון שפקד את משפחתו;",reject,Michael,train
נוסח מסמך זה כפוף לשינויי ניסוח ועריכה,reject,Michael,train
"נוסף על כך, יש להתחשב באפקט הקרימינוגני של המאסר, דהיינו בכך שמאסר בכלל,  ומאסר ממושך בפרט,  מעודד נטייה לעבריינות ומגדיל את הסיכוי שהאסיר יעבור עבירות עם שחרורו;",reject,Michael,train
סהיל מסוודה,reject,Michael,train
סוף דבר,reject,Michael,train
"על רקע זה סברה הועדה שיש לפעול לצמצום השימוש במאסרים מאחורי סורג ובריח מקום שבו המאסר אינו הכרחי משיקולי הלימה או לשם הרחקת עבריינים שמסוכנותם גבוהה, ולהרחיב את השימוש בעונשים זולים ויעילים יותר העומדים בעקרון ההלימה;",reject,Michael,train
"עם זאת, במקרה מיוחד ויוצא דופן זה, עונש מאסר ממושך בדרך של עבודות שירות יספק את אינטרס הגמול;",reject,Michael,train
"ציינה שבהנחיית פרקליט המדינה 9;6 שכותרתה ""מדיניות ענישה בעבירות נשק ומטעני חבלה"" (מיום 07;08;2016), נקבע שבעבירות מסוג החזקת נשק יש לטעון לרכיב של מאסר בפועל לתקופה ממשית גם כאשר מדובר בעבירה ראשונה;",reject,Michael,train
קביעת מתחם העונש ההולם,reject,Michael,train
"שכן כדי להלום את חומרת המעשה ולהרתיע את היחיד ואת הרבים, אין צורך להמתין להתממשות התוצאה החמורה בפועל ודי בתוצאה האפשרית בכוח;",reject,Michael,train
תמצית טיעוני הצדדים לעונש,reject,Michael,train
תסקיר שירות המבחן,reject,Michael,train
תסקיר שירות המבחן הוגש ביום 05;07;2020 כדי לשמור על צנעת הפרט של הנאשם אפרט את עיקרי הדברים בלבד;,reject,Michael,train
"תפ (י-ם) 10096-07-19	 מדינת ישראל נ' סהיל מסוודה",reject,Michael,train
"""לא אחת עמד בית משפט זה על החומרה היתרה הנודעת לעבירות נשק בכלל, ולעבירת החזקת נשק שלא כדין בפרט, המקימה סיכון ממשי וחמור לציבור ויוצרת פוטנציאל להסלמה עבריינית, ולפיכך מחייבת ליתן ביטוי עונשי הולם ומרתיע באמצעות הרחקת מבצע העבירה מן החברה לתקופת מאסר ממשית לריצוי בפועל;",reject,Michael,train
"""ניסיון השנים האחרונות מלמד שנשק המוחזק שלא כדין מוצא את דרכו לעתים לידיים עוינות, ולעתים נעשה בו שימוש למטרות פליליות, ואלה גם אלה כבר גרמו לא אחת לאובדן חיי אדם, ולפגיעה בחפים מפשע שכל ""חטאם"" נבע מכך שהם נקלעו בדרך מקרה לזירת הפשע;",reject,Michael,train
"(שם, בפסקה 5)",reject,Michael,train
אין מנוס אלא להשית עונשים שיהא בהם כדי להרתיע ולהרחיק אנשי זדון מנשק;,reject,Michael,train
בית המשפט המחוזי בתל אביב - יפו,reject,Michael,train
"בנסיבות העניין, מידת הפגיעה בערך החברתי המוגן היא גבוהה;",reject,Michael,train
"בעניין עריכה ושינויים במסמכי פסיקה, חקיקה ועוד באתר נבו – הקש כאן",reject,Michael,train
בעניין:,reject,Michael,train
בפני,reject,Michael,train
גזר דין,reject,Michael,train
ד;1;,reject,Michael,train
ד;2;,reject,Michael,train
ד;3;,reject,Michael,train
ד;4;,reject,Michael,train
ד;5;,reject,Michael,train
דוד רוזן 54678313,reject,Michael,train
"דוד רוזן, שופט",reject,Michael,train
דיון והכרעה:,reject,Michael,train
המאשימה,reject,Michael,train
הנאשם,reject,Michael,train
הנאשם החזיק נשק לא לתפארת ההחזקה ולא כמוצג ארכיאולוגי;,reject,Michael,train
"הנאשם יתייצב לריצוי מאסרו בבית מעצר ""ניצן"" ביום 28;02;2016 עד לשעה 12:00;",reject,Michael,train
"הסנגור המלומד השכיל להגיע להסדר טיעון נוח ומקל עם הנאשם, ולאחר ששמעתי נימוקיו הנכבדים החלטתי לכבד ההסדר ולא לגזור על הנאשם עונש כמידתו, עונש חמור מזה שהוצע לו ע""י המדינה;",reject,Michael,train
"הערך החברתי המוגן שנפגע כתוצאה ממעשי הנאשם הוא שמירה על חייו, שלומו וביטחונו של הפרט והציבור;",reject,Michael,train
הערך החברתי הנפגע ומידת הפגיעה בו:,reject,Michael,train
הפרקליט הנכבד הפנה בטיעוניו לחומרה היתרה הטמונה בעבירות הנשק;,reject,Michael,train
הקנס ישולם עד ליום 31;03;2016;,reject,Michael,train
זכות ערעור לבית המשפט העליון תוך 45 יום;,reject,Michael,train
"חוק העונשין, תשל""ז-1977: סע'  144, 144(א)",reject,Michael,train
חקיקה שאוזכרה:,reject,Michael,train
טענות הצדדים:,reject,Michael,train
כבוד השופט  דוד רוזן,reject,Michael,train
"כדי להלחם בכל אלה צריך העונש לבטא את סלידתה של החברה ודעתה הנחרצת שלא להשלים עם עבריינות בכלל, ומסוג זה בפרט;",reject,Michael,train
"כמתואר בכתב האישום המתוקן, הנאשם החזיק ברשותו שלא כדין בנשק חם קטלני, יחד עם תחמושת חיה בכמות לא מבוטלת;",reject,Michael,train
"לאחר ששקלתי את מכלול השיקולים הצריכים לעניין, הנני לגזור על הנאשם את העונשים הבאים:",reject,Michael,train
מדיניות הענישה הנוהגת:,reject,Michael,train
מדינת ישראל,reject,Michael,train
מחמוד אבו רמדאן,reject,Michael,train
"משמצא המחוקק לנכון להוסיף לספר החוקים את תיקון מס' 113 לחוק העונשין, מצווה בית המשפט לפעול בהתאם להוראותיו ולקבוע תחילה מהו מתחם העונש ההולם לעבירה בה הורשע הנאשם;",reject,Michael,train
"משקבעתי את מתחם העונש ההולם, יש לגזור את העונש המתאים לנאשם, בהתחשב בנסיבות שאינן קשורות בביצוע העבירה;",reject,Michael,train
מתחם העונש ההולם:,reject,Michael,train
נוסח מסמך זה כפוף לשינויי ניסוח ועריכה,reject,Michael,train
נסיבות הקשורות בביצוע העבירה:,reject,Michael,train
נסיבות שאינן קשורות בביצוע העבירה:,reject,Michael,train
"נסיבותיו האישיות של הנאשם פורטו לעיל, ובתסקיר שירות המבחן;",reject,Michael,train
נשק כמו זה שהחזיק הנאשם נועד לקיפוח חיי אדם או לביצוע עבירות פליליות אחרות שחומרתן מעוררת פלצות;,reject,Michael,train
סוף דבר:,reject,Michael,train
"ע""י ב""כ עו""ד מחמוד נעאמנה",reject,Michael,train
"ע""י ב""כ עו""ד צחי הבדלי",reject,Michael,train
פתח דבר:,reject,Michael,train
"קנס בסך 1,000 ₪ או 60 ימי מאסר תמורתו;",reject,Michael,train
שירות המבחן הגיש תסקיר בעניינו של הנאשם;,reject,Michael,train
תסקיר שירות המבחן:,reject,Michael,train
"תפ (ת""א) 1647-05-15	 מדינת ישראל נ' מחמוד אבו רמדאן",reject,Michael,train
"שותף אני לדעה, שהובאה במספר החלטות, עליהם הסתמכו באי כח העורר, לפיה אין העבירה של החזקת נשק ללא היתר כדין, כשלעצמה, מגיעה בכל הנסיבות לדרגת חומרה, המחייבת או המצדיקה את החזקתו של החשוד, או הנאשם בביצועה, במעצר;	reject
א;	6 חודשי מאסר בפועל שירוצו בדרך של עבודות שירות;	PUNISHMENT
אלך מהכבד אל הקל מבחינת חומרתן של העבירות:	reject
אנסה לסווג את העבירות של החזקת נשק שלא כדין לקטגוריות השונות שביניהן, אם כי ער אני לכך, שלא ניתן לכלול את כל האפשרויות במסגרת סיווג כזה;	reject
אשר על כן, הנני משית על הנאשם את העונשים הבאים:	reject
ב-בש 625/82 אבו מוך נ' מדינת ישראל פ""ד לז (3) 668, 671, כבוד השופט בך קבע כדלקמן:",reject,Michael,train
"ביום 13;6;11, משהחריף הסכסוך, הוזהרו נציגי המשפחות ע""י המשטרה לבל יפגעו זו בזו;",reject,Michael,train
בית משפט המחוזי בירושלים הטיל עליו 7 חודשי מאסר לריצוי בפועל;,reject,Michael,train
בית משפט השלום ברמלה,reject,Michael,train
"בכל מקרה, הנאשם מוזהר בדבר חובתו להישמע להוראותיו של הממונה על עבודות השירות וכי יתכנו שינויים במקום העבודה ושעות העבודה, הכל על פי שיקול דעתו של הממונה על עבודות השירות;",reject,Michael,train
"במסגרת סכסוך זה, נרצחה דודתו של הנאשם ובעלה ובנה נפצעו קשות;",reject,Michael,train
"בנוסף, בעקבות סכסוך זה, נפצע אחיו של הנאשם באירוע ירי;",reject,Michael,train
בסעיפים 1 ו-2 לגזר הדין הובאו העובדות הרלוונטיות לכתב האישום ואשר שם ואשר לפיהן:,reject,Michael,train
"בעניין עריכה ושינויים במסמכי פסיקה, חקיקה ועוד באתר נבו – הקש כאן",reject,Michael,train
בעניין:,reject,Michael,train
בפני,reject,Michael,train
ג ז ר – ד י ן,reject,Michael,train
"גזר הדין ניתן במסגרת תפ""ח 30995-07-11 מדינת ישראל נ' אלמרבוע [פורסם בנבו] (17;10;12);",reject,Michael,train
"ההפקדה הכספית בתיק מ""ת 1533-03-12 תועבר על ידי המזכירות לפקודת הסניגור;",reject,Michael,train
"החזקת הנשק ""לעת מצוא"" כדי לאפשר פעילות פלילית בעתיד;",reject,Michael,train
"החזקת הנשק לצורך הגנה עצמית או לצורך הגנה על הציבור, המשפחה או ה-""חמולה"", אליהם הנאשם משתייך;",reject,Michael,train
"החזקת הנשק לשם ביצוע מעשים, המיועדים לפגוע בביטחון המדינה או בביטחון הציבור;",reject,Michael,train
"החזקת הנשק לשם ביצוע עבירה פלילית ספציפית כגון רצח, שוד, התפרצות, תקיפה וכו';",reject,Michael,train
"החזקת כלי הנשק לצורך ספורט, צייד או שעשוע;",reject,Michael,train
"החזקת כלי הנשק, שפג תוקף רישיונו והנאשם נמנע מלחדש את הרישיון בעיתו;",reject,Michael,train
החזקת כלי נשק על ידי הנאשם בתור מזכרת או כאספן של כלים כאלה;,reject,Michael,train
החזקת נשק עם עונש מקסימאלי של 7 שנות מאסר – סעיף 144(א) רישא לחוק העונשין;,reject,Michael,train
החלקים לצורך הגנה עצמית בהיותו בעל עסק פרטי להשכרת רכב;,reject,Michael,train
הישאם אבו שחאדה 54678313,reject,Michael,train
המאשימה טענה שיש לאמץ את הרף העליון של העונש שלו עתרה וזאת בהתחשב בחומרה הרבה שמתלווה לעבירות נשק והסכנה שנשקפת לגופו בטחונו ושלומו של הציבור בכללותו מעבירות אלה ובכל מקרה נסיבותיו האישיות של הנאשם נלקחו בחשבון בעת קביעת אותו רף ענישה;,reject,Michael,train
המאשימה – מדינת ישראל,reject,Michael,train
באמצעות פרקליטות מחוז מרכז,reject,Michael,train
"ע""י עוה""ד הילה כהן",reject,Michael,train
הנאשם - מחמד אבו גריבה,reject,Michael,train
"ע""י עוה""ד שוקרי אבו טביק",reject,Michael,train
הנאשם הסתיר את,reject,Michael,train
"הנאשם יתייצב ביום 25;5;14 בשעה 08:00 במפקדת מחוז מרכז בשב""ס, יחידת עבודות השירות ברמלה, בפני הממונה על עבודות השירות לצורך תחילת ריצוי עבודות השירות;",reject,Michael,train
הנאשם עתר למאסר שירוצה בעבודות שירות לתקופה קצרה ביותר;,reject,Michael,train
הנשק בביתו ומאז רכישתו לא עשה בו כל שימוש;,reject,Michael,train
העונש המתאים בתוך מתחם העונש ההולם,reject,Michael,train
זו גם הקטגוריה של הנאשם שבפני;,reject,Michael,train
"חוק העונשין, תשל""ז-1977: סע'  144(א), 144(ב), 144(ב2), 144(ב3), 412, 499(א)(1)",reject,Michael,train
חקיקה שאוזכרה:,reject,Michael,train
טענות הצדדים לעונש,reject,Michael,train
"יצור, יבוא, ייצוא וסחר או כל עסקה אחרת בנשק, עם עונש מקסימאלי של 15 שנות מאסר – סעיף 144(ב2) וכן גם 144(ב3) לחוק העונשין;",reject,Michael,train
"יתר על כן, בעת שמדובר בעבירות נשק, המחוקק קבע מדרג של חומרה בביצוען של עבירות אלה:",reject,Michael,train
כב' השופט  הישאם  אבו שחאדה,reject,Michael,train
כתב האישום,reject,Michael,train
לפי העובדות בהן הודו הנאשמים: עובר ליום 13;6;11 נתגלע סכסוך בין משפחות אלמרבוע ומשפחת אבו גריבה המתגוררות בלוד;,reject,Michael,train
"מאידך גיסא, אין ספק בליבי, כי רבים הם המקרים, בהם יש לייחס חומרה מירבית לעבירות מהסוג הנדון;",reject,Michael,train
מדיניות הענישה הנוהגת בעבירה של החזקת נשק בשל תחושת איום,reject,Michael,train
מן הראוי לתת את הדעת גם לעיקרון האחידות בענישה ביחס לבני משפחה נוספים של הנאשם שהחזיקו בנשק במסגרת הסכסוך שבין משפחתו לבין המשפחה היריבה:,reject,Michael,train
"נביא להלן דוגמאות לענישה שניתנה בפסיקתו של  בית המשפט העליון בעבירה של החזקת נשק שלא כדין לפי סעיף 144(א) רישא לחוק העונשין, כאשר נטענה טענה של החזקת הנשק מחמת תחושת איום וצורך בהגנה עצמית:",reject,Michael,train
נוסח מסמך זה כפוף לשינויי ניסוח ועריכה,reject,Michael,train
"ניתן היום,  ח' ניסן תשע""ד, 08 אפריל 2014, במעמד הצדדים;",reject,Michael,train
נשיאה או הובלה של נשק עם עונש מקסימאלי של 10 שנות מאסר - סעיף 144(ב) רישא לחוק העונשין;,reject,Michael,train
"עבודות השירות יבוצעו במרכז יום לקשיש בלוד, שברחוב שפירא 35 שכונת נווה נוף בלוד, חמישה ימים בשבוע, 8 וחצי שעות עבודה יומיות;",reject,Michael,train
על דרגות האשם השונות בעבירה של החזקת נשק,reject,Michael,train
ערעורו לבית המשפט העליון נדחה;,reject,Michael,train
"צבירת נשק ע""י קבוצה פוליטית, עדתית או אידיאולוגית, במטרה לחזק בדרך זו את כוחה כנגד קבוצות יריבות;",reject,Michael,train
תפ (רמ') 1509-03-12,reject,Michael,train
"אולם לפני העלאת רף הענישה, הייתה הענישה נמוכה בהרבה;",reject,Michael,train
אשר לנסיבות הקשורות בעבירה -,reject,Michael,train
"ב""כ הנאשם ביקש לנהוג בנאשם במידת הרחמים, כך שהעונש יבהיר לו את חומרת העבירה, אך לא יפגע בו ובמשפחתו יתר על המידה;",reject,Michael,train
"ב""כ הנאשם טען כי הפסיקה שהגישה המאשימה איננה תומכת בעמדת המאשימה, והפנה לפסיקה נוספת;",reject,Michael,train
"בהמשך למתואר, בשעה 19:21, התקשר הנאשם לסוכן והודיע לו כי עליו לדחות את ביצוע העסקה בכל הנוגע לנשק;",reject,Michael,train
"בהתאם לתיקון 113 לחוק העונשין, העקרון המנחה בענישה הוא עקרון ההלימה: ""קיומו של יחס הולם בין חומרת מעשה העבירה בנסיבותיו ומידת אשמו של הנאשם ובין סוג ומידת העונש המוטל עליו"" (סעיף 40ב);",reject,Michael,train
ביום 10;2;2019 שוחחו הנאשם והסוכן על עסקה למכירת נשק;,reject,Michael,train
"ביום 18;2;2019, בהמשך לשיחות התיאום, נסע הסוכן למקום אליו כיוון אותו הנאשם בא-ראם;",reject,Michael,train
בית המשפט המחוזי ירושלים,reject,Michael,train
"בעניין עריכה ושינויים במסמכי פסיקה, חקיקה ועוד באתר נבו – הקש כאן",reject,Michael,train
בעניין:,reject,Michael,train
בראש ובראשונה יש להתייחס לעונש שקבע המחוקק לצד העבירות –,reject,Michael,train
בתי משפט,reject,Michael,train
בתסקיר התייחסות למשפחת המוצא של הנאשם;,reject,Michael,train
גזר דין,reject,Michael,train
"האחר הודיע לנאשם כי הוא מתעכב וכי הנשק שניסה הנאשם למכור לסוכן ""מקולקל"";",reject,Michael,train
המאשימה,reject,Michael,train
המזכירות תשלח העתק לשירות המבחן;,reject,Michael,train
הנאשם,reject,Michael,train
